id,host_response_rate,host_is_superhost,host_identity_verified,borough,property_type,room_type,accommodates,bathrooms,bedrooms,price,extra_people,availability_90,number_of_reviews,review_scores_rating,cancellation_policy,check_in_24h,air_conditioning,balcony,nature_and_views,tv,coffee_machine,cooking_basics,elevator,gym,parking,internet,pets_allowed,private_entrance,secure
34816527,unknown,0.0,0.0,"Brookland, Brentwood, Langdon",House,Entire home/apt,2,1.0,0.0,450,0,0,0,nan,flexible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34835922,100%,0.0,0.0,"West End, Foggy Bottom, GWU",Apartment,Entire home/apt,2,1.0,1.0,122,0,6,9,80-94/100,strict_14_with_grace_period,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
34855206,100%,0.0,1.0,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Apartment,Private room,2,1.0,1.0,100,20,0,1,95-100/100,flexible,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
34855314,100%,0.0,0.0,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Apartment,Entire home/apt,8,2.0,2.0,300,0,22,11,80-94/100,moderate,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
34859597,100%,1.0,0.0,"Capitol Hill, Lincoln Park",House,Private room,2,1.0,1.0,53,30,58,0,nan,strict_14_with_grace_period,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34862772,100%,0.0,1.0,"Dupont Circle, Connecticut Avenue/K Street",Apartment,Entire home/apt,2,1.0,1.0,125,0,8,1,nan,flexible,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34865671,50-89%,0.0,0.0,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Apartment,Private room,3,1.5,1.0,95,0,0,0,nan,flexible,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
34867728,100%,0.0,1.0,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Apartment,Entire home/apt,2,1.0,1.0,99,25,42,4,95-100/100,strict_14_with_grace_period,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
34868238,100%,1.0,1.0,"Edgewood, Bloomingdale, Truxton Circle, Eckington",House,Private room,1,1.0,1.0,75,0,62,0,nan,flexible,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34878232,100%,0.0,0.0,Historic Anacostia,House,Private room,2,1.0,1.0,75,0,57,0,nan,flexible,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
34884102,100%,0.0,0.0,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Other,Entire home/apt,4,1.0,1.0,140,0,57,5,95-100/100,strict_14_with_grace_period,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
34884997,100%,1.0,1.0,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",House,Entire home/apt,15,3.5,5.0,375,0,0,0,nan,moderate,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
34888096,100%,1.0,1.0,"Edgewood, Bloomingdale, Truxton Circle, Eckington",House,Entire home/apt,6,3.0,3.0,217,0,69,0,nan,strict_14_with_grace_period,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
34889205,100%,0.0,0.0,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Apartment,Entire home/apt,1,1.0,1.0,150,0,64,3,95-100/100,flexible,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
34890145,100%,0.0,0.0,"Dupont Circle, Connecticut Avenue/K Street",Apartment,Entire home/apt,2,1.0,1.0,172,0,55,0,nan,flexible,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
34895725,50-89%,0.0,0.0,"West End, Foggy Bottom, GWU",Apartment,Entire home/apt,3,1.0,1.0,159,0,90,0,nan,moderate,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
34904044,100%,0.0,0.0,"Dupont Circle, Connecticut Avenue/K Street",Apartment,Entire home/apt,4,1.0,1.0,65,20,39,5,0-79/100,strict_14_with_grace_period,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
34905346,100%,0.0,0.0,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",Other,Entire home/apt,3,1.0,1.0,85,0,84,8,80-94/100,moderate,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
34907238,100%,1.0,1.0,"Georgetown, Burleith/Hillandale",Other,Private room,1,1.0,1.0,60,0,0,1,95-100/100,flexible,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34910014,100%,0.0,0.0,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Apartment,Entire home/apt,4,1.0,2.0,120,0,69,9,95-100/100,strict_14_with_grace_period,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
34912567,100%,0.0,0.0,"Dupont Circle, Connecticut Avenue/K Street",Apartment,Entire home/apt,3,1.0,0.0,180,0,6,1,95-100/100,flexible,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
34912899,50-89%,0.0,1.0,"Ivy City, Arboretum, Trinidad, Carver Langston",Other,Entire home/apt,3,1.0,1.0,93,0,73,4,80-94/100,flexible,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
34913078,100%,0.0,0.0,"Union Station, Stanton Park, Kingman Park",Other,Entire home/apt,8,2.0,3.0,200,0,51,0,nan,flexible,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
34922571,100%,1.0,1.0,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Apartment,Entire home/apt,3,1.0,1.0,85,0,10,3,95-100/100,flexible,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34946548,100%,0.0,0.0,"Colonial Village, Shepherd Park, North Portal Estates",House,Entire home/apt,10,4.5,5.0,435,55,34,3,95-100/100,strict_14_with_grace_period,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
34948362,50-89%,1.0,0.0,"Cathedral Heights, McLean Gardens, Glover Park",Apartment,Entire home/apt,5,1.0,1.0,100,10,0,6,80-94/100,moderate,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
34963406,100%,0.0,0.0,"Georgetown, Burleith/Hillandale",House,Private room,1,1.0,1.0,75,0,25,0,nan,flexible,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
34965851,100%,0.0,0.0,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Apartment,Entire home/apt,4,1.0,1.0,111,11,82,2,80-94/100,strict_14_with_grace_period,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
34969216,100%,1.0,1.0,"Shaw, Logan Circle",Other,Entire home/apt,2,1.5,1.0,120,0,69,0,nan,strict_14_with_grace_period,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
34976993,100%,1.0,0.0,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Other,Entire home/apt,5,1.5,2.0,290,0,67,5,95-100/100,moderate,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
34980384,100%,0.0,1.0,"Georgetown, Burleith/Hillandale",Other,Entire home/apt,3,1.0,2.0,150,30,0,0,nan,moderate,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
34992461,100%,0.0,1.0,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",House,Entire home/apt,5,1.0,1.0,125,10,63,2,0-79/100,strict_14_with_grace_period,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
34998491,50-89%,0.0,1.0,"Capitol Hill, Lincoln Park",Other,Entire home/apt,2,1.0,0.0,76,0,9,0,nan,flexible,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
35001665,50-89%,0.0,0.0,"West End, Foggy Bottom, GWU",Apartment,Entire home/apt,3,1.0,1.0,159,0,90,0,nan,moderate,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
35004330,100%,0.0,0.0,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Apartment,Private room,1,1.0,1.0,90,0,2,3,95-100/100,flexible,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
35010715,100%,0.0,1.0,"North Michigan Park, Michigan Park, University Heights",House,Private room,4,1.0,0.0,60,0,22,0,nan,moderate,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
35014860,100%,0.0,1.0,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Apartment,Entire home/apt,3,1.0,1.0,125,0,66,10,95-100/100,moderate,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
35020429,90-99%,0.0,0.0,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Apartment,Entire home/apt,4,1.0,2.0,150,20,19,7,80-94/100,flexible,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
35036658,100%,0.0,1.0,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",House,Private room,3,2.5,1.0,270,20,68,0,nan,flexible,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
35036919,100%,0.0,1.0,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",House,Private room,3,1.5,1.0,270,20,65,1,95-100/100,flexible,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
35036923,100%,0.0,1.0,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",House,Private room,3,2.5,1.0,270,20,68,0,nan,flexible,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
35036974,100%,0.0,0.0,"Sheridan, Barry Farm, Buena Vista",Other,Private room,2,1.0,0.0,60,0,0,7,80-94/100,flexible,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
